INCI_Name,Aliases,Ingredient_Class,Functional_Category,Min_Effective_%,Optimal_%,Max_Safe_%,Primary_Benefits,Mechanism_of_Action,Skin_Concerns,Recommended_pH,Stability_Notes,Irritation_Risk,Comedogenicity_0_5,Pregnancy_Safety,Evidence_Strength,Avg_Time_To_Results,Effect_Strength_Weight,Synergistic_Ingredients,Contraindications,Red_Flag_Tags,Evidence_Level_Normalized,Evidence_Factor,Final_Effect_Score,Sun_Protection_Role,UV_Damage_Role,Tanning_Role,Evidence_Quality,Role_Weight,Clinical_Weight,Sensitive_Skin_Risk,Formulation_Role,Biological_Action,Solubility,Usage_Type,pKa,LogP,MW_Daltons,Avg_Time_Category,Avg_Time_Notes,Regional_Restrictions,Activity_Tier,Activity_Tier_Weight
Fermented Oil,Biotech Oil,Functional,Emollient,1.0,3.0,5.0,Absorption; Hydration; Lipase Process,Lipase Process,Hydration,,,Low,2.0,Insufficient data; consult doctor before use in pregnancy,Moderate,1 week,,Prebiotics,,,Moderate,0.7,,,,,Limited / Emerging,6.0,6.0,Unknown,Emollient,Lipase Process,Oil,Leave-on,,,,Mid (4-8w),1 week,,Tier 3: Bioactive Base,0.5
Exosomes,Vesicles,Active,Skin conditioning,0.001,0.01,0.1,Regenerative signaling; Active delivery; mRNA and growth factor communication,mRNA Signal,Aging & Fine Lines; Barrier Repair,6.0-7.5,,Low,0.0,Insufficient data; consult doctor before use in pregnancy,Strong,4-8 weeks,,Peptides,Strong Acids,Emerging technology; limited long-term safety and stability data,Limited,0.4,,,,,"Emerging clinical data (small cosmetic trials, often with devices)",10.0,4.0,Unknown,Skin Conditioning,mRNA Signal,Both,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Senolytic Pep,Senolytic peptide; Anti-senescence peptide; Zombie cell clearing peptide,Active,Skin conditioning,0.1,1.0,3.0,Anti-aging; Senescent cell clearance; Cellular rejuvenation,Apoptosis Reg,Aging & Fine Lines,5.0-6.0,,Low,0.0,Insufficient data; consult doctor before use in pregnancy,Strong,12 weeks,,Resveratrol,,Emerging; limited independent cosmetic clinical evidence,Limited,0.4,,,,,Moderate,10.0,4.0,Unknown,Skin Conditioning,Apoptosis Reg,Both,Leave-on,,,,Long (8w+),12 weeks,,Tier 2: Secondary Active,0.8
Licorice Root,Glycyrrhiza,Active,Skin conditioning,0.5,1.0,2.0,Soothing; Active; Tyrosinase Inh,Tyrosinase Inh,Pigmentation; Dullness; Redness; Sensitive Skin,5.0-7.0,,Low,0.0,Safe,Strong,4 weeks,,Vitamin C,,,Strong,1.0,,,,,Moderate,10.0,8.0,Unknown,Skin Conditioning,Tyrosinase Inh,Both,Leave-on,,,,Mid (4-8w),4 weeks,,Tier 2: Secondary Active,0.8
Thiotic Acid,Alpha Lipoic,Active,Antioxidant,0.1,0.5,1.0,Barrier Support; Antioxidant; Metabolic,Metabolic,Barrier Repair; UV Damage; Aging & Fine Lines,3.5-4.5,,Low-Moderate,0.0,Insufficient data; consult doctor before use in pregnancy,Strong,4 weeks,,Vitamin C,,,Strong,1.0,,,,,Moderate,5.0,8.0,Unknown,Antioxidant,Metabolic,Both,Leave-on,,,,Mid (4-8w),4 weeks,,Tier 2: Secondary Active,0.8
Retinaldehyde,Retinal,Active,Skin conditioning,0.01,0.05,0.1,Anti-aging; Active; One-step ATRA,One-step ATRA,Aging & Fine Lines,6.0-7.0,,Moderate,0.0,Avoid pregnancy - retinoid,Strong,8-12 weeks,,Hyaluronic Acid,AHA/BHA,Avoid in pregnancy; photosensitivity; irritation risk,Strong,1.0,,,,,Strong Clinical,10.0,8.0,Unknown,Skin Conditioning,One-step ATRA,Both,Leave-on,,,,Long (8w+),8-12 weeks,,Tier 1: Primary Active,1.0
HPR,Granactive,Active,Skin conditioning,0.1,0.3,1.0,Anti-aging; Active; Direct Bind,Direct Bind,Aging & Fine Lines,5.0-6.5,,Moderate,0.0,Safe,Strong,12 weeks,,Squalane,Benzoyl Peroxide,Avoid in pregnancy; use SPF daily,Strong,1.0,,,,,Moderate,10.0,8.0,Unknown,Skin Conditioning,Direct Bind,Both,Leave-on,,,,Long (8w+),12 weeks,,Tier 1: Primary Active,1.0
Zinc PCA,Zinc Salt,Active,Skin conditioning,0.1,0.5,1.0,Oil Control; Active; Anti-acne,Sebum Inhib,Acne & Oily Skin,4.0-6.0,,Low,0.0,Insufficient data; consult doctor before use in pregnancy,Strong,2 weeks,0.7,Niacinamide,,,Strong,1.0,0.7,,,,Moderate,10.0,8.0,Unknown,Skin Conditioning,Sebum Inhib,Water,Leave-on,,,363.64,Mid (4-8w),2 weeks,,Tier 2: Secondary Active,0.8
ETERWELL YOUTH,Senolytic,Active,Skin conditioning,0.1,1.0,3.0,Aging; Active; Zombie Cell Clr,Zombie Cell Clr,Aging & Fine Lines,5.0-6.0,,Low,0.0,Insufficient data; consult doctor before use in pregnancy,Strong,12 weeks,,Resveratrol,,,Strong,1.0,,,,,Moderate,10.0,8.0,Unknown,Skin Conditioning,Zombie Cell Clr,Both,Leave-on,,,,Long (8w+),12 weeks,,Tier 2: Secondary Active,0.8
Pickmulse,Emulsifier,Functional,Skin conditioning,0.5,1.5,3.0,Sensory; Functional; Micellar Tech,Micellar Tech,,4.0-8.0,,Low,0.0,Insufficient data; consult doctor before use in pregnancy,Strong,Immediate,,Pickering,,,Strong,1.0,,,,,Strong Clinical,4.0,8.0,Unknown,Skin Conditioning,Micellar Tech,Both,Leave-on,,,,Immediate,Immediate,,Tier 4: Inert Functional,0.1
Galguard,Prebiotive,Functional,Skin conditioning,0.1,0.5,1.0,Microbe; Functional; Antimicrobial,Antimicrobial,,4.5-6.5,,Low,0.0,Insufficient data; consult doctor before use in pregnancy,Strong,,,Humectants,,,Strong,1.0,,,,,Moderate,4.0,8.0,Unknown,Skin Conditioning,Antimicrobial,Both,Leave-on,,,,,,,Tier 4: Inert Functional,0.1
PRO-LONGEVIA,Biotech,Active,Skin conditioning,0.5,1.0,2.0,Longevity; Active; Cellular Fasting,Cellular Fasting,,5.0-7.0,,Low,0.0,Insufficient data; consult doctor before use in pregnancy,Strong,4-8 weeks,,Peptides,,,Strong,1.0,,,,,Moderate,10.0,8.0,Unknown,Skin Conditioning,Cellular Fasting,Both,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Clarivine,Botanical,Active,Skin conditioning,0.1,0.5,1.0,Longevity; Active; Autophagy,Autophagy,,5.5-6.5,,Low,0.0,Insufficient data; consult doctor before use in pregnancy,Strong,8 weeks,,Vitamin C,,,Strong,1.0,,,,,Moderate,10.0,8.0,Unknown,Skin Conditioning,Autophagy,Both,Leave-on,,,,Mid (4-8w),8 weeks,,Tier 2: Secondary Active,0.8
PhytoCellTec,Exosomes,Active,Skin conditioning,0.1,0.5,2.0,Barrier Support; Active; Stem Cell Sign,Stem Cell Sign,Barrier Repair,6.0-7.5,,Low,0.0,Insufficient data; consult doctor before use in pregnancy,Strong,12 weeks,,Polyglutamic Acid,Strong Acids,,Limited,0.4,,,,,"Emerging clinical data (small cosmetic trials, often with devices)",10.0,4.0,Unknown,Skin Conditioning,Stem Cell Sign,Both,Leave-on,,,,Long (8w+),12 weeks,,Tier 2: Secondary Active,0.8
Luceane,Marine Ext,Active,Skin conditioning,1.0,2.0,3.0,Fatigue; Active; Metabolic Reg,Metabolic Reg,,5.0-7.0,,Low,0.0,Insufficient data; consult doctor before use in pregnancy,Strong,4 weeks,,Hyaluronic Acid,,,Strong,1.0,,,,,Strong Clinical,10.0,8.0,Unknown,Skin Conditioning,Metabolic Reg,Both,Leave-on,,,,Mid (4-8w),4 weeks,,Tier 2: Secondary Active,0.8
OleoShine Green,Polymer,Functional,Skin conditioning,1.0,2.0,5.0,Radiance; Functional; Film Former,Film Former,Dullness,5.0-8.0,,Low,1.0,Insufficient data; consult doctor before use in pregnancy,Strong,Immediate,,Titanium Dioxide; Iron Oxides,,,Strong,1.0,,,,,Moderate,4.0,8.0,Unknown,Skin Conditioning,Film Former,Both,Leave-on,,,,Immediate,Immediate,,Tier 4: Inert Functional,0.1
Bemotrizinol,Tinosorb S,Active,Skin conditioning,1.0,3.0,6.0,Photoprotection; Active; Photostable,Photostable,UV Damage; Aging & Fine Lines,5.0-7.5,,Low,0.0,Insufficient data; consult doctor before use in pregnancy,Strong,Immediate,,Avobenzone,,,Strong,1.0,,Primary UV Filter,Primary UV Block,Primary UV Block,Strong Clinical,10.0,8.0,Unknown,Skin Conditioning,Photostable,Oil,Leave-on,,,,Immediate,Immediate,,Tier 1: Primary Active,1.0
Bisphenol S,BPS,Safety,Safety,,,,Hazard; Safety; Plasticizer,Plasticizer,,,,High,0.0,Avoid - endocrine disruptor,Limited,,,,,Endocrine disruptor; banned in EU cosmetics; avoid,Limited,0.4,,,,,Moderate,4.0,4.0,Unknown,Skin Conditioning,Plasticizer,Both,Leave-on,,,,,,,Tier 4: Inert Functional,0.1
"1,4-Dioxane",Impurity,Safety,Safety,,,,Hazard; Safety; Carcinogen,Carcinogen,,,,High,0.0,Avoid - known carcinogen and contaminant,Limited,,,,,IARC Group 2B carcinogen; contaminant; banned in EU,Limited,0.4,,,,,Moderate,4.0,4.0,Unknown,Skin Conditioning,Carcinogen,Both,Leave-on,,,,,,,Tier 4: Inert Functional,0.1
Formaldehyde,Preservative,Safety,Safety,,,,Hazard; Safety; Carcinogen,Carcinogen,,,,High,0.0,Avoid - IARC Group 1 carcinogen,Limited,,,,,IARC Group 1 carcinogen; banned in EU; sensitizer,Limited,0.4,,,,,Moderate,4.0,4.0,Unknown,Skin Conditioning,Carcinogen,Both,Leave-on,,,,,,,Tier 4: Inert Functional,0.1
Benzene,Solvent,Safety,Safety,,,,Hazard; Safety; Carcinogen,Carcinogen,,,,High,0.0,Avoid - IARC Group 1 carcinogen,Limited,,,,,IARC Group 1 carcinogen; banned in cosmetics,Limited,0.4,,,,,Moderate,4.0,4.0,Unknown,Skin Conditioning,Carcinogen,Both,Leave-on,,,,,,,Tier 4: Inert Functional,0.1
Coal Tar,Active,Safety,Safety,,,,Hazard; Safety; Carcinogen,Carcinogen,,,,High,0.0,Avoid - IARC Group 1 carcinogen,Limited,,,,,IARC Group 1 carcinogen; restricted globally,Limited,0.4,,,,,Moderate,4.0,4.0,Unknown,Skin Conditioning,Carcinogen,Both,Leave-on,,,,,,,Tier 4: Inert Functional,0.1
Hydroquinone,Lightener,Active,Skin conditioning,1.0,2.0,4.0,Brightening; Active; Tyrosinase Inh,Tyrosinase Inh,Pigmentation; Dullness,3.5-5.0,,Moderate-High,1.0,Avoid pregnancy,Strong,12 weeks,,Vitamin C,Peroxides; avoid in pregnancy; avoid prolonged use >3 months,Pregnancy avoid; ochronosis risk with prolonged use; FDA restricted OTC,Strong,1.0,,,,,Strong Clinical,10.0,8.0,Unknown,Skin Conditioning,Tyrosinase Inh,Both,Leave-on,,,,Long (8w+),12 weeks,EU: PROHIBITED as cosmetic ingredient (Annex II/1339),Tier 1: Primary Active,1.0
Benzoyl Perox,BPO,Active,Skin conditioning,2.5,5.0,10.0,Anti-acne; Active; Oxidizer,Oxidizer,Acne & Oily Skin,5.0-7.0,,Moderate-High,0.0,Avoid pregnancy,Strong,1 week,,Clindamycin,Retinol,Bleaches fabric; irritation risk; avoid with retinoids,Strong,1.0,,,,,Strong Clinical,10.0,8.0,Unknown,Skin Conditioning,Oxidizer,Both,Leave-on,,,,Mid (4-8w),1 week,,Tier 1: Primary Active,1.0
Adapalene,Differin,Active,Skin conditioning,0.1,0.1,0.3,Anti-acne; Active; RAR Target,RAR Target,Acne & Oily Skin,5.0-6.0,,Moderate,0.0,Avoid pregnancy,Strong,8-12 weeks,,,Acids,Avoid in pregnancy; photosensitivity; purging phase expected; avoid with other exfoliants,Strong,1.0,,,,,Strong Clinical,10.0,8.0,Unknown,Skin Conditioning,RAR Target,Both,Leave-on,,,,Long (8w+),8-12 weeks,,Tier 1: Primary Active,1.0
Aluminum Chlor,Antipresp,Active,Skin conditioning,10.0,15.0,20.0,Sweat; Active; Pore Care,Pore Block,Large Pores,2.0-4.0,,Low-Moderate,0.0,Avoid pregnancy,Strong,Immediate,,,Avoid on broken or freshly shaved skin; avoid in pregnancy,Avoid in pregnancy; avoid on broken or freshly shaved skin; potential estrogen receptor interaction,Strong,1.0,,,,,Strong Clinical,10.0,8.0,Unknown,Skin Conditioning,Pore Block,Both,Leave-on,,,,Immediate,Immediate,,Tier 1: Primary Active,1.0
Rosehip Oil,Rosa Canina,Active,Skin conditioning,5.0,20.0,100.0,Scars; Active; Vit A/C Mimic,Vit A/C Mimic,Aging & Fine Lines; Barrier Repair; Pigmentation; Acne & Oily Skin,4.0-8.0,,Low,1.0,Safe,Strong,8 weeks,,Squalane,,,Strong,1.0,,,,,Moderate,10.0,8.0,Unknown,Skin Conditioning,Vit A/C Mimic,Oil,Leave-on,,,,Mid (4-8w),8 weeks,,Tier 3: Bioactive Base,0.5
Mangifera Ind.,Mango Butter,Functional,Emollient,1.0,5.0,20.0,Soften; Hydration; Triglycerides,Triglycerides,Hydration,,,Low,2.0,Safe,Strong,Immediate,,Hyaluronic Acid,,,Strong,1.0,,,,,Moderate,6.0,8.0,Unknown,Emollient,Triglycerides,Oil,Leave-on,,,,Immediate,Immediate,,Tier 3: Bioactive Base,0.5
Curcuma Longa,Turmeric,Active,Skin conditioning,0.1,0.5,1.0,Inflammation; Active; Curcuminoids,Curcuminoids,Redness,5.0-7.0,,Low,0.0,Insufficient data; consult doctor before use in pregnancy,Strong,4 weeks,,Honey,,,Strong,1.0,,,,,Moderate,10.0,8.0,Unknown,Skin Conditioning,Curcuminoids,Both,Leave-on,,,,Mid (4-8w),4 weeks,,Tier 2: Secondary Active,0.8
Melicica,Biotech,Active,Skin conditioning,0.5,1.0,2.0,Barrier Support; Active; Holistic Fix,Holistic Fix,Barrier Repair,5.0-6.0,,Low,0.0,Insufficient data; consult doctor before use in pregnancy,Strong,1 week,,Prebiotics,,,Strong,1.0,,,,,Moderate,10.0,8.0,Unknown,Skin Conditioning,Holistic Fix,Both,Leave-on,,,,Mid (4-8w),1 week,,Tier 2: Secondary Active,0.8
Ginseng Ext,Panax,Active,Skin conditioning,0.5,2.0,5.0,Radiance; Active; Ginsenosides,Ginsenosides,Dullness,5.0-6.5,,Low,0.0,Insufficient data; consult doctor before use in pregnancy,Strong,4 weeks,,Vitamin C,,,Strong,1.0,,,,,Moderate,10.0,8.0,Unknown,Skin Conditioning,Ginsenosides,Both,Leave-on,,,,Mid (4-8w),4 weeks,,Tier 2: Secondary Active,0.8
Rosemary Ext,Rosmarinus,Active,Skin conditioning,0.1,0.5,1.0,Antioxidant; Active; Carnosic Ac,Carnosic Ac,UV Damage; Aging & Fine Lines,4.0-7.0,,Low-Moderate,0.0,Insufficient data; consult doctor before use in pregnancy,Strong,,,Vitamin E,,,Strong,1.0,,,,,Strong Clinical,10.0,8.0,Unknown,Skin Conditioning,Carnosic Ac,Both,Leave-on,,,,,,,Tier 2: Secondary Active,0.8
Pomegranate Ex,Punica,Active,Skin conditioning,1.0,2.0,5.0,Aging; Active; Ellagic Acid,Ellagic Acid,Aging & Fine Lines,4.5-6.5,,Low,0.0,Safe,Strong,4 weeks,,Green Tea,,,Strong,1.0,,,,,Moderate,10.0,8.0,Unknown,Skin Conditioning,Ellagic Acid,Both,Leave-on,,,,Mid (4-8w),4 weeks,,Tier 2: Secondary Active,0.8
Alpha-Glucan,Prebiotic,Active,Skin conditioning,0.5,1.5,3.0,Barrier Support; Active; Microbe Food,Microbe Food,Barrier Repair,4.0-7.0,,Low,0.0,Safe at recommended concentrations,Strong,2 weeks,,Postbiotics,,,Strong,1.0,,,,,Moderate,10.0,8.0,Unknown,Skin Conditioning,Microbe Food,Water,Leave-on,,,,Mid (4-8w),2 weeks,,Tier 2: Secondary Active,0.8
Titanium Diox,Pigment,Active,Skin conditioning,1.0,10.0,25.0,Photoprotection; Active; Physical Block,Physical Block,UV Damage; Aging & Fine Lines,6.0-8.0,,Low,0.0,Safe,Strong,Immediate,,Zinc Oxide,None significant; avoid nano form on broken skin,,Strong,1.0,,,,,Strong Clinical,10.0,8.0,Unknown,Skin Conditioning,Physical Block,Both,Leave-on,,,,Immediate,Immediate,,Tier 1: Primary Active,1.0
DMAE,Dimethyleth,Active,Skin conditioning,1.0,2.0,3.0,Anti-aging; Active; Acetylcholine,Acetylcholine,Aging & Fine Lines,6.5-8.0,,Low-Moderate,0.0,Insufficient data; consult doctor before use in pregnancy,Moderate,Immediate,,Peptides,Acids,,Moderate,0.7,,,,,Limited / Emerging,10.0,6.0,Unknown,Skin Conditioning,Acetylcholine,Both,Leave-on,,,,Immediate,Immediate,,Tier 2: Secondary Active,0.8
Alpha Lipoic,Thiotic Ac,Active,Skin conditioning,0.1,1.0,5.0,Antioxidant; Active; Multi-Solvent,Multi-Solvent,UV Damage; Aging & Fine Lines,3.5-5.0,,Low-Moderate,0.0,Insufficient data; consult doctor before use in pregnancy,Strong,4 weeks,,Vitamin C,,,Strong,1.0,,,,,Moderate,10.0,8.0,Unknown,Skin Conditioning,Multi-Solvent,Both,Leave-on,,,,Mid (4-8w),4 weeks,,Tier 2: Secondary Active,0.8
Vitamin K,Phytonadione,Active,Skin conditioning,0.1,0.5,1.0,Soothing; Active; Clotting Fact,Clotting Fact,Dark Circles; Redness,5.0-7.0,,Low,0.0,Safe,Moderate,4 weeks,,Arnica,,,Moderate,0.7,,,,,Limited / Emerging,10.0,6.0,Unknown,Skin Conditioning,Clotting Fact,Both,Leave-on,,,,Mid (4-8w),4 weeks,,Tier 3: Bioactive Base,0.5
Cocamidopropyl,Betaine,Functional,Skin conditioning,1.0,5.0,10.0,Surfactant; Functional; Amphoteric,Amphoteric,,5.0-7.0,,Low-Moderate,0.0,Safe,Strong,Immediate,,Sodium Laureth Sulfate,,,Strong,1.0,,,,,Strong Clinical,4.0,8.0,Unknown,Skin Conditioning,Amphoteric,Both,Leave-on,,,,Immediate,Immediate,,Tier 4: Inert Functional,0.1
Sodium Laureth,SLES,Functional,Skin conditioning,5.0,10.0,15.0,Surfactant; Functional; Anionic,Anionic,,6.0-8.0,,Low-Moderate,0.0,Safe,Strong,Immediate,,Betaine,,,Strong,1.0,,,,,Strong Clinical,4.0,8.0,Unknown,Skin Conditioning,Anionic,Water,Leave-on,,,,Immediate,Immediate,,Tier 4: Inert Functional,0.1
Methylparaben,Preservative,Safety,Safety,0.1,0.2,0.4,Hazard; Safety; Biocide,Biocide,,4.5-6.0,,Low,0.0,Insufficient data; consult doctor before use in pregnancy,Strong,,,Propylparaben,Nitrosating agents; estrogen-sensitive conditions,Endocrine disruptor concern; EU restricted to 0.4%; Prop 65 listed,Strong,1.0,,,,,Strong Clinical,4.0,8.0,Unknown,Skin Conditioning,Biocide,Both,Leave-on,,,,,,,Tier 4: Inert Functional,0.1
Avobenzone,Butyl Methoxydibenzoylmethane; Parsol 1789,Active,Skin conditioning,1.0,2.0,3.0,Photoprotection; Active; Chemical,Chemical,UV Damage; Aging & Fine Lines,6.0-7.5,,Low-Moderate,0.0,Insufficient data; consult doctor before use in pregnancy,Strong,Immediate,,Octocrylene,Avoid without photostabilizer alongside Octinoxate; photodegradation risk,,Strong,1.0,,Primary UV Filter,Primary UV Block,Primary UV Block,Strong Clinical,10.0,8.0,Unknown,Skin Conditioning,Chemical,Oil,Leave-on,,4.3,310.39,Immediate,Immediate,EU: 5% max (Annex VI),Tier 1: Primary Active,1.0
S3D Reverso,Peptide Mix,Active,Skin conditioning,1.0,2.0,5.0,Youth; Active; Barrier Support,Repair Comp,Barrier Repair,5.5-6.5,,Low,0.0,Insufficient data; consult doctor before use in pregnancy,Strong,8 weeks,,Hyaluronic Acid,Acids,,Strong,1.0,,,,,Moderate,10.0,8.0,Unknown,Skin Conditioning,Repair Comp,Water,Leave-on,,,,Mid (4-8w),8 weeks,,Tier 2: Secondary Active,0.8
Aloe Vera,Aloe Barbadensis Leaf Juice; Aloe barbadensis,Active,Soothing; Humectant,1.0,5.0,50.0,Aloe vera; contains aro; Soothing,Polysaccharide water-binding; Anti-inflammatory cytokine modulation; Mucilage film formation,Dullness; Uneven Texture; Hydration; Barrier Repair,4.0-7.0,,Low,0.0,Insufficient data; consult doctor before use in pregnancy,Limited,,,,Related Allergy,,Limited,0.4,,,,,Moderate,4.0,4.0,Unknown,Humectant,Aloe vera; contains aro; Soothing,Both,Leave-on,,,,,,,Tier 3: Bioactive Base,0.5
Algin,Sodium Alginate; Alginic acid sodium salt,Active,Gel former; Thickener,0.1,0.5,2.0,Hydration; Soothing; Film forming,"An extract from brown seaweed used as hydrating, soothing, and viscosity controlling agent.",Aging & Fine Lines; Hydration,5.0-8.0,,Low,0.0,Insufficient data; consult doctor before use in pregnancy,Limited,,,,Related Allergy,,Limited,0.4,,,,,Moderate,4.0,4.0,Unknown,Thickener,Polysaccharide film forming; Ionic gelation,Both,Leave-on,,,,,,,Tier 4: Inert Functional,0.1
Algae Extract,Marine algae extract; Seaweed extract,Active,Antioxidant; Soothing,0.5,1.0,5.0,Antioxidant; Soothing; Hydration,Polyphenol antioxidant; UV-protective polysaccharide film,Aging & Fine Lines; Hydration; UV Damage,,,Low,0.0,Insufficient data; consult doctor before use in pregnancy,Limited,,,,Related Allergy,,Limited,0.4,,,,,Moderate,4.0,4.0,Unknown,Antioxidant,Polyphenol antioxidant; UV-protective polysaccharide film,Water,Leave-on,,,,,,,Tier 3: Bioactive Base,0.5
Algae Exopolysaccharides,Marine EPS; Algal exopolysaccharides,Active,Antioxidant; Barrier repair,0.5,1.0,3.0,In skincare; Photoprotection; Hydration; Antioxidant,Polysaccharide UV protection; Free radical scavenging; Humectant film formation,Aging & Fine Lines; Hydration; UV Damage,,,Low,0.0,Insufficient data; consult doctor before use in pregnancy,Limited,,,,Related Allergy,,Limited,0.4,,,,,Moderate,4.0,4.0,Unknown,Antioxidant,Polysaccharide UV protection; Free radical scavenging; Humectant film formation,Both,Leave-on,,,,,,,Tier 3: Bioactive Base,0.5
Alaria Esculenta Extract,Winged kelp extract; Dabberlocks extract,Active,Antioxidant; Soothing,0.5,1.0,5.0,Soothing; Antioxidant; Hydration; Anti-aging,"A type of edible brown algae composed of amino acids, minerals (such as zinc, iron, selenium etc), and antioxidant.",Aging & Fine Lines; Hydration; UV Damage,,,Low,0.0,Insufficient data; consult doctor before use in pregnancy,Limited,,,,Related Allergy,,Limited,0.4,,,,,Moderate,4.0,4.0,Unknown,Antioxidant,Soothing; Antioxidant; Hydration; Anti-aging,Water,Leave-on,,,,,,,Tier 3: Bioactive Base,0.5
Ahnfeltia Concinna Extract,Red algae extract; Ahnfeltia extract,Active,Soothing; Antioxidant,0.5,1.0,3.0,Soothing; Ahnfeltia concinna extract; or red marine algae extract,A natural extract from red marine algae with multifunctional properties.,Aging & Fine Lines; Hydration,,,Low,0.0,Insufficient data; consult doctor before use in pregnancy,Limited,,,,Related Allergy,,Limited,0.4,,,,,Moderate,4.0,4.0,Unknown,Antioxidant,A natural extract from red marine algae with multifunctional properties.,Water,Leave-on,,,,,,,Tier 3: Bioactive Base,0.5
Acetyl Tyrosinamide,Acetylated tyrosinamide; Tyrosinamide derivative,Active,Humectant; Brightening,0.5,1.0,3.0,Anti-aging; Hydration,"N-Acetyl L-Tyrosinamide is present in the ""natural moisturising factors (NMFs)"" which moisturise and hydrate the skin.",Aging & Fine Lines; Hydration,,,Low,0.0,Insufficient data; consult doctor before use in pregnancy,Limited,,,,Related Allergy,,Limited,0.4,,,,,Moderate,4.0,4.0,Unknown,Humectant,Anti-aging; Hydration,Both,Leave-on,,,,,,,Tier 2: Secondary Active,0.8
Acetyl Tetrapeptide,Tetrapeptide-2; Matrixyl 3000 variant,Active,Peptide; Anti-aging,0.005,0.01,0.05,Anti-aging; Collagen stimulation; Skin firming,Signal peptide receptor activation; ECM synthesis stimulation,Aging & Fine Lines,,,Low,0.0,Insufficient data; consult doctor before use in pregnancy,Limited,,,,Related Allergy,,Limited,0.4,,,,,Small cosmetic studies; limited independent long-term data,4.0,4.0,Unknown,Skin Conditioning,Signal peptide receptor activation; ECM synthesis stimulation,Water,Leave-on,,,,,,,Tier 2: Secondary Active,0.8
Acetyl Glucosamine,N-Acetyl-D-glucosamine; NAG,Active,Humectant; Brightening,2.0,4.0,6.0,Brightening; repa; Hydration,HA precursor synthesis; NMF component; Melanin transfer inhibition,Pigmentation; Aging & Fine Lines; Uneven Texture; Hydration; Redness; Dullness,,,Low,0.0,Insufficient data; consult doctor before use in pregnancy,Limited,,,,Related Allergy,,Limited,0.4,,,,,Moderate,4.0,4.0,Unknown,Humectant,HA precursor synthesis; NMF component; Melanin transfer inhibition,Both,Leave-on,,,,,,,Tier 2: Secondary Active,0.8
Acetylarginyltryptophyl Diphenylglycine,Syn-Ake; Waglerin-1 mimic,Active,Peptide; Anti-aging,0.002,0.005,0.02,Anti-aging; Muscle relaxation; Expression line reduction,Signal peptide receptor activation; ECM synthesis stimulation; Anti-aging,Aging & Fine Lines,,,Low,0.0,Insufficient data; consult doctor before use in pregnancy,Limited,,,,Related Allergy,,Limited,0.4,,,,,Moderate,4.0,4.0,Unknown,Skin Conditioning,Signal peptide receptor activation; ECM synthesis stimulation; Anti-aging,Water,Leave-on,,,,,,,Tier 2: Secondary Active,0.8
Acai Extract,Euterpe oleracea berry extract,Active,Antioxidant; Skin conditioning,0.5,1.0,5.0,Antioxidant; An extract from the acai berry,Anthocyanin antioxidant activity; Polyphenol free radical scavenging,UV Damage; Aging & Fine Lines,,,Low,0.0,Insufficient data; consult doctor before use in pregnancy,Limited,,,,Related Allergy,,Limited,0.4,,,,,Moderate,4.0,4.0,Unknown,Antioxidant,Anthocyanin antioxidant activity; Polyphenol free radical scavenging,Water,Leave-on,,,,,,,Tier 3: Bioactive Base,0.5
